nights_id,minimum_nights,maximum_nights
367,2 ,1125 
368,1 ,1125 
369,31 ,1125 
370,3 ,957 
371,3 ,365 
372,1 ,60 
373,1 ,1125 
374,30 ,30 
375,5 ,27 
376,2 ,1125 
377,31 ,365 
378,3 ,365 
379,30 ,31 
380,30 ,1125 
381,4 ,1125 
382,5 ,1125 
383,30 ,1125 
384,30 ,1125 
385,2 ,1125 
386,1 ,1125 
387,30 ,1125 
388,30 ,365 
389,2 ,28 
390,3 ,1125 
391,1 ,30 
392,30 ,1125 
393,1 ,28 
394,30 ,1125 
395,1 ,1 
396,20 ,1125 
397,1 ,1125 
398,2 ,7 
399,1 ,1125 
400,31 ,1125 
401,1 ,365 
402,5 ,365 
403,1 ,31 
404,6 ,1125 
405,4 ,1125 
406,2 ,21 
407,30 ,1125 
408,30 ,1125 
409,30 ,1125 
410,30 ,1125 
411,30 ,1125 
412,3 ,1125 
413,30 ,1000 
414,30 ,180 
415,30 ,367 
416,1 ,1125 
417,30 ,1125 
418,14 ,1125 
419,2 ,1125 
420,30 ,1125 
421,3 ,365 
422,5 ,365 
423,30 ,1125 
424,30 ,360 
425,3 ,365 
426,2 ,1125 
427,30 ,1125 
428,3 ,1125 
429,1 ,1125 
430,30 ,1125 
431,60 ,1125 
432,5 ,60 
433,30 ,1000 
434,30 ,31 
435,2 ,365 
436,31 ,1125 
437,30 ,1125 
438,30 ,1125 
439,2 ,1125 
440,2 ,1125 
441,30 ,365 
442,2 ,1125 
443,90 ,365 
444,1 ,28 
445,1 ,28 
446,2 ,1125 
447,2 ,1125 
448,30 ,1125 
449,25 ,90 
450,1 ,1125 
451,365 ,1125 
452,30 ,365 
453,30 ,1125 
454,3 ,1125 
455,30 ,1125 
456,30 ,34 
457,4 ,28 
458,2 ,1125 
459,3 ,1125 
460,3 ,365 
461,2 ,1125 
462,2 ,1125 
463,5 ,1125 
464,30 ,159 
465,30 ,1125 
466,30 ,1125 
467,30 ,1125 
468,1 ,30 
469,30 ,1125 
470,2 ,1125 
471,30 ,1125 
472,2 ,1125 
473,30 ,1125 
474,2 ,365 
475,1 ,1125 
476,1 ,10 
477,1 ,1125 
478,30 ,120 
479,5 ,1125 
480,1 ,730 
481,30 ,365 
482,2 ,3 
483,4 ,1125 
484,2 ,45 
485,30 ,367 
486,20 ,365 
487,30 ,1125 
488,14 ,24 
489,2 ,1125 
490,2 ,365 
491,30 ,1125 
492,1 ,1125 
493,1 ,365 
494,30 ,120 
495,1 ,1125 
496,3 ,1125 
497,30 ,1125 
498,1 ,28 
499,30 ,1125 
500,30 ,365 
501,2 ,365 
502,3 ,7 
503,5 ,1125 
504,2 ,92 
505,1 ,1125 
506,30 ,1125 
507,30 ,1125 
508,3 ,28 
509,30 ,1125 
510,30 ,1124 
511,90 ,1000 
512,28 ,28 
513,30 ,365 
514,1 ,365 
515,2 ,365 
516,30 ,1125 
517,60 ,1125 
518,30 ,1125 
519,10 ,1125 
520,14 ,31 
521,30 ,30 
522,1 ,365 
523,30 ,1125 
524,20 ,40 
525,30 ,1125 
526,6 ,15 
527,16 ,365 
528,3 ,7 
529,2 ,365 
530,30 ,1125 
531,5 ,1125 
532,1 ,1125 
533,30 ,60 
534,30 ,30 
535,1 ,1125 
536,30 ,1125 
537,6 ,200 
538,30 ,60 
539,1 ,365 
540,30 ,1125 
541,30 ,1125 
542,1 ,1125 
543,30 ,1125 
544,10 ,1125 
545,30 ,30 
546,1 ,14 
547,5 ,31 
548,1 ,1125 
549,30 ,1125 
550,1 ,1125 
551,30 ,1125 
552,30 ,1125 
553,90 ,1125 
554,30 ,365 
555,30 ,365 
556,45 ,160 
557,30 ,96 
558,30 ,1125 
559,1 ,1125 
560,4 ,1125 
561,30 ,1125 
562,30 ,1125 
563,1 ,1 
564,7 ,1125 
565,30 ,365 
566,5 ,1125 
567,3 ,28 
568,1 ,365 
569,30 ,30 
570,2 ,30 
571,30 ,1125 
572,30 ,1125 
573,2 ,1125 
574,2 ,365 
575,4 ,1125 
576,30 ,1125 
577,31 ,1125 
578,5 ,1125 
579,30 ,150 
580,30 ,30 
581,1 ,365 
582,30 ,1125 
583,3 ,14 
584,30 ,1125 
585,30 ,1125 
586,30 ,100 
587,30 ,1125 
588,2 ,150 
589,2 ,365 
590,1 ,1125 
591,1 ,1125 
592,1 ,1125 
