availability_id,has_availability,availability_30,availability_60,availability_90,availability_365
8953,t,10,22,31,31
8954,t,5,10,40,98
8955,f,0,0,0,0
8956,t,0,0,0,0
8957,f,0,0,0,0
8958,t,0,0,0,0
8959,f,0,0,0,0
8960,t,10,28,58,58
8961,t,0,0,0,0
8962,t,0,0,0,0
8963,t,7,14,44,313
8964,t,1,3,31,31
8965,t,26,56,86,361
8966,t,0,0,0,34
8967,f,0,0,0,0
8968,t,0,0,0,0
8969,t,30,60,90,365
8970,t,13,40,70,338
8971,t,26,56,86,361
8972,t,27,57,87,177
8973,t,30,60,90,90
8974,t,0,5,35,310
8975,t,0,0,3,3
8976,t,0,0,6,19
8977,t,3,27,57,332
8978,t,0,0,0,0
8979,t,0,0,0,37
8980,t,11,38,68,148
8981,t,0,0,13,270
8982,t,1,25,53,56
8983,t,0,0,0,0
8984,t,3,12,41,117
8985,f,0,0,0,0
8986,t,3,22,52,142
8987,t,0,0,5,95
8988,t,0,28,47,304
8989,t,0,0,29,119
8990,t,20,26,56,331
8991,t,0,5,10,155
8992,t,3,28,28,277
8993,t,22,52,82,108
8994,t,23,53,83,358
8995,f,0,0,0,0
8996,t,0,0,0,0
8997,t,15,45,75,192
8998,t,0,0,0,0
8999,f,0,0,0,0
9000,f,0,0,0,0
9001,t,0,0,0,94
9002,t,17,44,74,74
9003,t,12,27,57,332
9004,f,0,0,0,0
9005,t,8,38,68,68
9006,t,0,0,0,0
9007,f,0,0,0,0
9008,f,0,0,0,0
9009,t,0,0,0,0
9010,t,24,54,84,359
9011,f,0,0,0,0
9012,t,0,0,0,0
9013,f,0,0,0,0
9014,t,2,2,2,2
9015,t,22,52,82,357
9016,t,12,32,62,337
9017,t,0,1,11,71
9018,t,0,0,0,247
9019,f,0,0,0,0
9020,t,0,2,32,32
9021,t,15,24,44,297
9022,f,0,0,0,0
9023,t,26,55,85,220
9024,t,5,35,65,340
9025,t,30,60,90,180
9026,t,0,2,2,15
9027,t,4,9,23,230
9028,t,0,0,0,0
9029,t,0,0,0,88
9030,t,0,0,0,0
9031,t,22,52,82,108
9032,t,0,6,36,232
9033,t,0,0,0,2
9034,t,3,3,8,8
9035,t,20,45,45,45
9036,f,0,0,0,0
9037,f,0,0,0,0
9038,t,0,0,0,0
9039,t,16,43,73,348
9040,t,0,0,0,0
9041,f,0,0,0,0
9042,t,5,5,5,253
9043,t,15,45,75,350
9044,t,0,1,1,34
9045,t,4,25,55,330
9046,t,0,0,0,240
9047,t,0,0,0,0
9048,t,0,0,0,0
9049,t,9,39,53,53
9050,t,9,15,45,320
9051,f,0,0,0,0
9052,f,0,0,0,0
9053,f,0,0,0,0
9054,t,0,0,0,0
9055,t,3,8,14,274
9056,f,0,0,0,0
9057,f,0,0,0,0
9058,t,0,7,22,175
9059,t,11,33,63,338
9060,t,0,6,15,82
9061,t,2,13,40,40
9062,t,0,0,20,20
9063,f,0,0,0,0
9064,f,0,0,0,0
9065,f,0,0,0,0
9066,t,0,0,0,0
9067,t,17,47,77,336
9068,t,6,36,66,66
9069,t,0,0,0,0
9070,t,6,11,31,114
9071,t,0,0,0,0
9072,t,7,28,51,121
9073,t,0,0,0,0
9074,t,0,0,0,218
9075,t,26,56,86,361
9076,t,2,2,14,46
9077,f,0,0,0,0
9078,f,0,0,0,0
9079,f,0,0,0,0
9080,t,3,33,63,338
9081,t,1,11,11,224
9082,t,1,22,52,327
9083,t,0,21,51,326
9084,t,0,0,0,0
9085,t,0,0,6,281
9086,t,12,40,70,151
9087,t,3,10,31,97
9088,t,17,29,29,29
9089,t,0,0,0,0
9090,t,6,36,66,341
9091,t,0,28,58,333
9092,t,0,0,0,0
9093,t,4,8,24,64
9094,f,0,0,0,0
9095,t,28,56,85,115
9096,t,0,0,0,0
9097,t,0,0,0,0
9098,t,23,23,23,241
9099,t,1,2,7,243
9100,t,25,55,85,85
9101,t,5,5,13,288
9102,t,21,49,79,354
9103,t,0,0,0,0
9104,f,0,0,0,0
9105,t,7,29,51,287
9106,f,0,0,0,0
9107,t,0,0,0,0
9108,f,0,0,0,0
9109,t,4,10,13,236
9110,t,10,19,40,45
9111,f,0,0,0,0
9112,t,26,56,86,361
9113,t,14,39,67,93
9114,t,0,0,0,0
9115,t,10,20,41,298
9116,t,0,0,0,0
9117,t,5,10,15,79
9118,t,4,34,64,339
9119,t,27,56,84,262
9120,t,6,36,66,156
9121,t,5,19,25,273
9122,t,1,30,60,335
9123,f,0,0,0,0
9124,t,0,0,0,0
9125,t,12,23,49,210
9126,t,15,36,66,341
9127,t,30,60,90,365
9128,t,0,0,0,0
9129,t,0,0,0,0
9130,t,30,60,90,365
9131,t,0,0,0,87
9132,f,0,0,0,0
9133,t,0,0,0,0
9134,f,0,0,0,0
9135,t,21,48,78,353
9136,t,1,1,1,7
9137,t,29,59,89,179
9138,t,0,0,0,0
9139,t,0,0,5,280
9140,t,5,5,31,31
9141,t,3,25,55,235
9142,f,0,0,0,0
9143,t,0,0,13,288
9144,t,20,50,80,355
9145,t,0,0,0,249
9146,t,12,42,72,72
9147,t,26,56,86,361
9148,t,27,57,87,360
9149,t,0,0,0,0
9150,t,23,53,83,358
9151,f,0,0,0,0
9152,t,0,0,0,0
9153,t,23,53,83,358
9154,t,0,0,0,76
9155,t,0,0,0,64
9156,t,0,0,0,0
9157,t,0,0,0,0
9158,f,0,0,0,0
9159,f,0,0,0,0
9160,t,6,21,27,117
9161,t,0,0,0,0
9162,t,5,30,60,335
9163,t,0,0,0,0
9164,t,0,0,0,268
9165,t,12,22,46,315
9166,f,0,0,0,0
9167,t,15,45,75,345
9168,f,0,0,0,0
9169,t,0,0,0,0
9170,t,0,0,0,0
9171,t,13,31,61,147
9172,t,28,58,88,363
9173,f,0,0,0,0
9174,t,0,6,36,311
9175,t,0,0,0,15
9176,t,0,0,0,0
9177,t,9,39,69,344
9178,f,0,0,0,0
9179,t,4,19,19,19
9180,t,21,21,26,116
9181,t,0,0,0,48
9182,t,3,33,63,338
9183,t,19,49,79,79
9184,t,14,22,22,104
9185,t,2,2,2,252
9186,t,0,0,0,0
9187,t,1,7,32,32
9188,f,0,0,0,0
9189,f,0,0,0,0
9190,f,0,0,0,0
9191,t,28,58,88,363
9192,t,1,1,3,278
9193,t,22,52,82,357
9194,t,6,36,66,341
9195,f,0,0,0,0
9196,t,0,0,0,0
9197,t,24,54,84,110
9198,t,0,0,0,0
9199,t,16,46,76,351
9200,t,0,0,0,0
9201,t,5,16,43,43
9202,t,4,4,4,254
9203,t,0,1,27,27
9204,t,0,28,58,333
9205,t,0,0,0,0
9206,f,0,0,0,0
9207,t,0,0,0,0
9208,t,3,17,41,313
