id,neighbourhood_cleansed,neighbourhood_group
3588,East Flatbush,Brooklyn
3589,Williamsburg,Brooklyn
3590,Brighton Beach,Brooklyn
3591,Astoria,Queens
3592,Bedford-Stuyvesant,Brooklyn
3593,Bedford-Stuyvesant,Brooklyn
3594,Hell's Kitchen,Manhattan
3595,Crown Heights,Brooklyn
3596,Greenwich Village,Manhattan
3597,Gramercy,Manhattan
3598,West Village,Manhattan
3599,Bedford-Stuyvesant,Brooklyn
3600,Kensington,Brooklyn
3601,Dyker Heights,Brooklyn
3602,Harlem,Manhattan
3603,East Village,Manhattan
3604,Hell's Kitchen,Manhattan
3605,Brighton Beach,Brooklyn
3606,Bedford-Stuyvesant,Brooklyn
3607,East Village,Manhattan
3608,Richmond Hill,Queens
3609,Harlem,Manhattan
3610,Greenpoint,Brooklyn
3611,Forest Hills,Queens
3612,Midtown,Manhattan
3613,Windsor Terrace,Brooklyn
3614,Woodside,Queens
3615,East Village,Manhattan
3616,Kips Bay,Manhattan
3617,Harlem,Manhattan
3618,Crown Heights,Brooklyn
3619,Manhattan,Manhattan
3620,Norwood,Bronx
3621,East Village,Manhattan
3622,Bedford-Stuyvesant,Brooklyn
3623,Roosevelt Island,Manhattan
3624,Bedford-Stuyvesant,Brooklyn
3625,Bushwick,Brooklyn
3626,Bushwick,Brooklyn
3627,Fort Greene,Brooklyn
3628,Bedford-Stuyvesant,Brooklyn
3629,Hell's Kitchen,Manhattan
3630,Midtown,Manhattan
3631,Midtown,Manhattan
3632,Williamsburg,Brooklyn
3633,Midtown,Manhattan
3634,Williamsburg,Brooklyn
3635,Harlem,Manhattan
3636,Battery Park City,Manhattan
3637,Astoria,Queens
3638,West Village,Manhattan
3639,Hell's Kitchen,Manhattan
3640,Brooklyn Heights,Brooklyn
3641,Bedford-Stuyvesant,Brooklyn
3642,Bushwick,Brooklyn
3643,Lower East Side,Manhattan
3644,Harlem,Manhattan
3645,Upper West Side,Manhattan
3646,East Elmhurst,Queens
3647,Harlem,Manhattan
3648,Bedford-Stuyvesant,Brooklyn
3649,Bushwick,Brooklyn
3650,Financial District,Manhattan
3651,Kingsbridge,Bronx
3652,Central Park,Manhattan
3653,Bedford-Stuyvesant,Brooklyn
3654,Maspeth,Queens
3655,Midwood,Brooklyn
3656,Nolita,Manhattan
3657,Woodside,Queens
3658,Bushwick,Brooklyn
3659,Kensington,Brooklyn
3660,East Harlem,Manhattan
3661,Midtown,Manhattan
3662,Harlem,Manhattan
3663,Greenwich Village,Manhattan
3664,Stapleton,Staten Island
3665,Bedford-Stuyvesant,Brooklyn
3666,Gramercy,Manhattan
3667,Williamsburg,Brooklyn
3668,Bedford-Stuyvesant,Brooklyn
3669,Bedford-Stuyvesant,Brooklyn
3670,Bedford-Stuyvesant,Brooklyn
3671,Astoria,Queens
3672,Grant City,Staten Island
3673,Highbridge,Bronx
3674,Harlem,Manhattan
3675,Bedford-Stuyvesant,Brooklyn
3676,East Village,Manhattan
3677,Hell's Kitchen,Manhattan
3678,Vinegar Hill,Brooklyn
3679,Upper West Side,Manhattan
3680,Prospect-Lefferts Gardens,Brooklyn
3681,Upper East Side,Manhattan
3682,Chelsea,Manhattan
3683,Bedford-Stuyvesant,Brooklyn
3684,Bedford-Stuyvesant,Brooklyn
3685,East Harlem,Manhattan
3686,East Harlem,Manhattan
3687,Bedford-Stuyvesant,Brooklyn
3688,Bedford-Stuyvesant,Brooklyn
3689,Woodside,Queens
3690,Upper East Side,Manhattan
3691,Crown Heights,Brooklyn
3692,Upper East Side,Manhattan
3693,East Elmhurst,Queens
3694,Arverne,Queens
3695,Hell's Kitchen,Manhattan
3696,SoHo,Manhattan
3697,Far Rockaway,Queens
3698,Financial District,Manhattan
3699,Bedford-Stuyvesant,Brooklyn
3700,Greenpoint,Brooklyn
3701,East Elmhurst,Queens
3702,Clinton Hill,Brooklyn
3703,Williamsburg,Brooklyn
3704,Wakefield,Bronx
3705,Bedford-Stuyvesant,Brooklyn
3706,Cambria Heights,Queens
3707,Manhattan,Manhattan
3708,Gramercy,Manhattan
3709,Astoria,Queens
3710,Bushwick,Brooklyn
3711,New Dorp Beach,Staten Island
3712,Flatlands,Brooklyn
3713,Civic Center,Manhattan
3714,Williamsburg,Brooklyn
3715,Financial District,Manhattan
3716,East Village,Manhattan
3717,Flushing,Queens
3718,Prospect-Lefferts Gardens,Brooklyn
3719,Midtown,Manhattan
3720,Bushwick,Brooklyn
3721,Elmhurst,Queens
3722,Bedford-Stuyvesant,Brooklyn
3723,Astoria,Queens
